week,matched_bucket,yt_videos,yt_avg_views,yt_avg_likes,yt_total_comments,yt_avg_engagement,views_per_video
2026-02-23/2026-03-01,Health and Fitness,16,751523.0625,27332.0,6310,0.0326646638718928,751523.0625
2026-02-23/2026-03-01,Industry and Operations,3,32825.0,26.333333333333332,2,0.011816334903413531,32825.0
2026-02-23/2026-03-01,Lifestyle and Hobbies,153,270531.8888888889,3370.2875816993464,11147,inf,270531.8888888889
2026-02-23/2026-03-01,Music,565,252325.68672566372,6260.966371681416,121350,0.02696300943164047,252325.68672566372
2026-02-23/2026-03-01,Other,347,800053.9538904899,11265.391930835734,98868,0.024387709757904278,800053.9538904899
2026-02-23/2026-03-01,People and Society,36,1927336.25,18932.75,6056,0.017901927031255302,1927336.25
2026-02-23/2026-03-01,Politics and World News,14,1082891.142857143,19497.14285714286,7956,0.009707000203921215,1082891.142857143
2026-02-23/2026-03-01,Science and Education,165,65001.7696969697,725.4909090909091,2588,0.019034955896811118,65001.7696969697
2026-02-23/2026-03-01,Sports,30,470661.26666666666,8158.966666666666,4306,0.024501590668287457,470661.26666666666
2026-02-23/2026-03-01,Technology,11,1432054.4545454546,16660.0,7146,0.02360346650172255,1432054.4545454546
2026-03-02/2026-03-08,Automotive and Transport,63,173916.31746031746,1248.4126984126983,661,0.013284015857514046,173916.31746031746
2026-03-02/2026-03-08,Business and Finance,6,16636.333333333332,881.5,801,0.04663627750190155,16636.333333333332
2026-03-02/2026-03-08,Crime and Legal,1,420.0,18.0,0,0.0428571428571428,420.0
2026-03-02/2026-03-08,Environment and Outdoors,4,87538.5,4251.0,279,0.01616482438820571,87538.5
2026-03-02/2026-03-08,Film and TV,527,82992.0815939279,1097.9184060721063,7630,0.013178376263934982,82992.0815939279
2026-03-02/2026-03-08,Gaming,425,71776.25882352941,1098.7741176470588,9625,0.01781876775667286,71776.25882352941
2026-03-02/2026-03-08,Health and Fitness,23,18473.521739130436,371.04347826086956,865,0.022842650065654425,18473.521739130436
2026-03-02/2026-03-08,Lifestyle and Hobbies,150,19772.04,523.7466666666667,3375,0.018683395867511082,19772.04
2026-03-02/2026-03-08,Music,644,86362.87422360248,1587.973602484472,41032,0.023058641815447735,86362.87422360248
2026-03-02/2026-03-08,Other,331,112359.40483383686,893.2870090634441,5612,inf,112359.40483383686
2026-03-02/2026-03-08,People and Society,40,92519.775,1094.5,237,0.028062551973520512,92519.775
2026-03-02/2026-03-08,Politics and World News,10,108209.3,853.7,132,0.00822762574205459,108209.3
2026-03-02/2026-03-08,Science and Education,236,40547.49152542373,482.9279661016949,2223,0.018573571278084934,40547.49152542373
2026-03-02/2026-03-08,Sports,45,112829.33333333333,1176.1777777777777,1176,0.021003733652339034,112829.33333333333
2026-03-02/2026-03-08,Technology,9,11569.333333333334,360.6666666666667,163,0.0528195547950557,11569.333333333334
2026-03-09/2026-03-15,Automotive and Transport,25,33441.0,240.2,123,0.004400051073290268,33441.0
2026-03-09/2026-03-15,Environment and Outdoors,2,4817.0,42.0,1,0.01429219507165685,4817.0
